Kinase	ID	Predictor	DMSO-1-DOX-1-E	DMSO-1-DOX-1-p	DMSO-2-DOX-2-E	DMSO-2-DOX-2-p	DMSO-3-DOX-3-E	DMSO-3-DOX-3-p
CDK7	P50613	CMGC/CDK	0.960547001941951	2.8409e-048	0.975952778789529	7.4597e-020	0.976449149537896	4.4098e-017
CDK8	P49336	CMGC/CDK	0.940215626673924	4.1743e-052	0.956684585040906	1.4799e-029	0.963449734094399	5.3723e-019
CDK9	P50750	CMGC/CDK	0.957850753592158	3.2521e-047	0.97459927504188	5.1012e-019	0.976580011663374	1.2476e-014
CDKL1	Q00532	CMGC	0.966871427272445	3.8525e-026	0.968530446061853	3.3778e-025	0.977652860643747	4.7564e-012
CDKL2	B4DH08	CMGC	0.970256023653932	3.5405e-013	0.971000306016223	2.2196e-013	0.977854235839027	1.4339e-007
CDKL3	Q8IVW4	CMGC	0.982726921346264	0.0015283	0.983290507564471	0.0015011	0.990171787937387	0.079412
CDKL4	Q2NME9	CMGC	0.966871427272445	3.8525e-026	0.968530446061853	3.3778e-025	0.977652860643747	4.7564e-012
CDKL5	O76039	CMGC	0.972796638392764	1.4667e-012	0.972677448722583	2.0003e-013	0.980440788770207	7.914e-007
CHED	Q14004	CMGC/CDK	0.96103063326715	4.862e-050	0.975236765148986	3.1173e-022	0.976967639847585	2.3489e-017
CHK1	O14757	CAMK/CAMKL/CHK1	1.05892370140896	1.4736e-036	1.0641363000249	3.9708e-045	1.04710327602069	7.2021e-023
CHK2	O96017	CAMK/RAD53	1.03000997956103	5.1602e-010	1.02575532695364	4.0894e-008	1.02052762633466	3.3285e-005
CK1a	D3DQG1	CK1	0.970418059758698	0.022535	1.01709164704051	0.19837	0.960104131291105	0.0037452
CK1a2	Q8N752	CK1	1.03191986628222	6.8378e-017	1.032628163885	4.7855e-018	1.0076235793038	0.052094
CK1d	P48730	CK1	1.03217279633731	4.9928e-017	1.03295339872832	2.8925e-018	1.00784524154778	0.046378
CK1e	P49674	CK1	1.02909124007823	4.0612e-013	1.03076142334277	6.4622e-015	1.01543068925634	0.00018784
CK1g1	Q9HCP0	CK1	1.03041943614708	2.2558e-014	1.03170774055802	6.073e-016	1.01601379922831	9.5312e-005
CK1g2	P78368	CK1	1.03192283298116	7.1132e-017	1.0326673501277	4.576e-018	1.0076058238313	0.052781
CK1g3	Q9Y6M4	CK1	1.0044085996898	0.55844	1.02706111931402	0.00031103	0.991833741007312	0.29847
CK2a1	P68400	Other/CK2	1.03500029597099	2.035e-046	1.02766966829295	4.0346e-031	1.01242098413615	6.1085e-007
CK2a2	P19784	Other/CK2	1.03169816750518	2.4942e-034	1.02049335112205	5.1675e-016	1.00858540013228	0.0011455
CLK1	B4DFW7	CMGC	0.966871427272445	3.8525e-026	0.968530446061853	3.3778e-025	0.977652860643747	4.7564e-012
CLK2	P49760	CMGC	0.973345438936953	1.943e-013	0.972386365227067	3.6769e-015	0.980415554824852	1.6061e-007
CLK3	Q59FC5	CMGC	0.973842681224101	1.2749e-012	0.972928770935907	3.3381e-014	0.981085033870022	6.4104e-007
CLK4	Q9HAZ1	CMGC	0.974235304805446	3.9639e-012	0.973449904243678	1.5507e-013	0.981646975666259	1.6371e-006
COT	P41279	STE/STE-Unique/COT	0.985393263461914	0.13288	0.988145730420942	0.21252	0.986582882751503	0.18045
CRK7	Q9NYV4	CMGC/CDK	0.961105053917695	4.08e-051	0.975894979323991	1.1866e-021	0.977780894482382	1.233e-016
CSK	P41240	TK/Csk	1.00534537233583	0.70692	0.968586078856175	0.02004	0.981303661345259	0.18978
CTK	P42679	TK/Csk	1.01306650386866	0.9155	1.02900844521278	0.81633	1.0748444587713	0.56516
CaMK1a	Q14012	CAMK/CAMK1	1.02425114518709	0.012241	1.02174452414802	0.02182	1.03274392396149	0.0009983
CaMK1b	B4E1A6	CAMK/CAMK1	1.02594583027139	0.0062704	1.02335152332507	0.012025	1.0324943897405	0.0008507
CaMK1g	Q96NX5	CAMK/CAMK1	1.0247019608778	0.001491	1.02270453876154	0.0028345	1.03042156294867	0.00013965
CaMK2b	Q13554	CAMK/CAMK2	1.01236797949313	0.011713	0.99745539158549	0.59383	1.00767101117576	0.12743
CaMK2d	Q13557	CAMK/CAMK2	1.01301780228465	0.0050596	0.998031809727038	0.66301	1.00606878436781	0.20254
CaMK2g	Q13555	CAMK/CAMK2	1.01236797949313	0.011713	0.99745539158549	0.59383	1.00767101117576	0.12743
CaMK4	Q16566	CAMK/CAMK1	1.02896516440504	0.00068361	1.02770338178132	0.00091413	1.03704172833976	2.4661e-005
DAPK1	Q59H88	CAMK/DAPK	1.03987882617536	6.6973e-005	1.0282208044531	0.0038857	1.02093393610477	0.041868
DAPK2	Q9UIK4	CAMK/DAPK	1.03695081692381	4.0944e-005	1.02412961174364	0.006011	1.0165643268115	0.07305
DAPK3	O43293	CAMK/DAPK	1.04098064249407	7.6718e-005	1.025999363824	0.01011	1.02379338366637	0.025298
DCLK1	O15075	CAMK	1.01322057215992	2.5454e-005	1.00558084456097	0.06892	1.01186650883939	0.00025004
DCLK2	Q8N568	CAMK	1.01031826487918	0.0017479	1.00329877520035	0.30524	1.00895826003421	0.0083977
DCLK3	Q9C098	CAMK	1.01031826487918	0.0017479	1.00329877520035	0.30524	1.00895826003421	0.0083977
DLK	Q12852	TKL/MLK	1.00193549493779	0.74683	1.00039169913939	0.94683	1.00244028896195	0.69399
DMPK1	Q09013	AGC/DMPK	0.988108580576426	0.091791	0.995483632396244	0.51645	0.994545756948813	0.45848
DMPK2	Q6DT37	AGC/DMPK	0.973996510198595	0.71224	0.943431971474266	0.40081	1.00195753015988	0.97883
DNAPK	P78527	Atypical/PIKK/DNAPK	1.14286418976673	5.5861e-061	1.1469006191713	4.1681e-068	1.11790493695793	1.6353e-040
DRAK1	Q9UEE5	CAMK/DAPK	1.00934432274603	0.70076	0.975930779923802	0.30948	0.99959253108995	0.98698
DRAK2	O94768	CAMK/DAPK	1.03561255493551	8.6632e-005	1.02466763603269	0.0053575	1.01607278288693	0.084491
DYRK1A	Q13627	CMGC/DYRK	0.998988409789415	0.7989	1.00213781629889	0.58162	1.00093863669922	0.81928
DYRK1B	Q9Y463	CMGC/DYRK	0.997078712102579	0.44979	1.00119397220712	0.75232	1.00051504097759	0.89765
DYRK2	Q92630	CMGC/DYRK	0.995294625549407	0.4247	1.00438049418355	0.44984	0.997192634706363	0.64643
DYRK3	O43781	CMGC/DYRK	1.00240977155428	0.58729	1.00342197085135	0.43069	1.00195704233876	0.67035
DYRK4	Q9NR20	CMGC/DYRK	0.995294625549407	0.4247	1.00438049418355	0.44984	0.997192634706363	0.64643
EGFR	P00533	TK/EGFR	1.03642140321382	0.0024635	0.999142620828714	0.9401	1.01068062695645	0.37735
EphA1	P21709	TK/Eph	1.03855021504619	0.051244	0.978979001593065	0.2694	1.02398338407607	0.23698
EphA10	Q5JZY3	TK/Eph	1.05116880765463	0.003405	1.00040326452504	0.98082	1.0254192481941	0.15171
EphA2	P29317	TK/Eph	1.03464738993872	0.12636	0.984751555196178	0.4881	1.03347599044722	0.1507
EphA3	P29320	TK/Eph	1.04968429606387	0.003709	1.00551027998595	0.73839	1.02262236897289	0.19355
EphA4	P54764	TK/Eph	1.03961423125025	0.027927	0.985178522123486	0.39334	1.01605434534922	0.38136
EphA5	P54756	TK/Eph	1.05847892838558	0.00015132	1.01196822956745	0.42123	1.02432961807144	0.12238
EphA6	Q9UF33	TK/Eph	1.05847892838558	0.00015132	1.01196822956745	0.42123	1.02432961807144	0.12238
EphA7	Q15375	TK/Eph	1.05841478400996	0.00016024	1.01180261164275	0.42887	1.02381874120211	0.13128
EphA8	P29322	TK/Eph	1.05847892838558	0.00015132	1.01196822956745	0.42123	1.02432961807144	0.12238
EphB1	P54762	TK/Eph	1.03957561383966	0.038968	0.977499637006948	0.22192	1.02448809771715	0.21206
EphB2	P29323	TK/Eph	1.0499077957451	0.001363	1.00396572357108	0.79183	1.0191868370067	0.22774
EphB3	P54753	TK/Eph	1.03957561383966	0.038968	0.977499637006948	0.22192	1.02448809771715	0.21206
EphB4	P54760	TK/Eph	1.05116880765463	0.003405	1.00040326452504	0.98082	1.0254192481941	0.15171
EphB6	D3DXD3	TK/Eph	1.04376717664653	0.04018	0.983228613640612	0.41371	1.02767613316038	0.20578
ErbB2	P04626	TK/EGFR	1.04077002044293	0.0074458	0.996704495988651	0.8189	1.01609144205434	0.29315
ErbB3	P21860	TK/EGFR	1.04069690172395	0.0045859	1.00292862628126	0.82963	1.01447871001614	0.31677
ErbB4	Q15303	TK/EGFR	1.03642140321382	0.0024635	0.999142620828714	0.9401	1.01068062695645	0.37735
Erk1	P27361	CMGC/MAPK	0.97343809015624	4.764e-028	0.981218253225693	2.4482e-015	0.984266877426972	3.4018e-010
Erk2	P28482	CMGC/MAPK	0.974377108882494	3.8009e-035	0.981143928844271	1.6453e-020	0.986062812174769	8.4122e-011
Erk3	Q16659	CMGC/MAPK	0.97393306827711	1.3264e-027	0.981601284235369	4.8808e-015	0.984343418841072	2.7556e-010
Erk4	P31152	CMGC/MAPK	0.987130115838949	0.11282	0.990255032571009	0.2186	0.99952819978696	0.95498
Erk5	Q13164	CMGC/MAPK	0.973315414277954	1.6735e-028	0.981174007819683	1.6344e-015	0.984165165597123	2.2134e-010
Erk7	Q8TD08	CMGC/MAPK	0.983876116826686	0.038187	0.991318704946331	0.25439	0.998310049894884	0.83356
FAK	Q658W2	TK/Fak	1.03561586490799	0.00068459	1.00923681348481	0.36307	1.00537315103162	0.61344
FER	P16591	TK/Fer/Fer	1.0539706247727	0.0076132	1.00965091012488	0.61585	1.00484249208875	0.81131
FER	P16591	TK/Fer/Fes	1.08304464474691	0.00064275	1.00520392777587	0.81927	1.01292665670796	0.59242
FES	P07332	TK/Fer/Fer	1.05773199932327	0.020799	0.991926365152695	0.7323	1.01218771443367	0.62881
FES	P07332	TK/Fer/Fes	1.08796981611093	0.0042046	0.988740243573645	0.69232	1.00909013154128	0.76438
FGFR1	P11362	TK/FGFR	1.00356505029502	0.87361	1.01888267298011	0.38218	0.986622206392168	0.55959
FGFR2	P21802	TK/FGFR	1.00592784007434	0.77753	1.01630830134573	0.42052	0.982356793926667	0.41106
FGFR3	P22607	TK/FGFR	1.0871761921003	0.50029	1.06473506851972	0.60234	1.03782367718029	0.7771
FGFR4	P22455	TK/FGFR	1.00592784007434	0.77753	1.01630830134573	0.42052	0.982356793926667	0.41106
FGR	P09769	TK/Src	1.04228685301578	8.735e-006	0.995306633934632	0.60349	1.01463019359613	0.12967
FLT1	P17948	TK/VEGFR	1.03921377290393	0.026411	0.994815800359032	0.75736	1.00544727610394	0.76029
FLT3	P36888	TK/PDGFR	1.04633031727147	0.018475	0.996959046461331	0.87001	1.0049976532243	0.80173
FLT4	P35916	TK/VEGFR	1.04659637443513	0.016495	0.993025184175061	0.70531	0.996852191846425	0.87215
FMS	P07333	TK/PDGFR	1.04730541371907	0.013153	1.00050273539038	0.97781	1.00510231647738	0.79183
FRAP	P42345	Atypical/PIKK/FRAP	0.954057661698136	7.9928e-080	0.964085236452101	7.7422e-052	0.971026295202083	1.0924e-030
FRK	P42685	TK/Src	1.04447031576451	1.0716e-005	0.992759073351391	0.44923	1.01730442845679	0.091347
FYN	P06241	TK/Src	1.0415736521942	2.5067e-005	0.992913006126222	0.44928	1.0156031523846	0.1198
GCK	Q12851	STE/STE20	1.02137582422407	0.0031083	1.00360727351873	0.6075	1.02113868054693	0.0044792
GCN2	Q9P2K8	Other/PEK	0.989074875544018	0.40149	1.0072887652826	0.56732	0.997422090209151	0.84801
GPRK4	P32298	AGC/GRK	0.997512850127314	0.90085	1.04469068238853	0.029138	1.00170248191761	0.93695
GPRK5	P34947	AGC/GRK	1.00990540150535	0.20936	1.02664971793799	0.0006292	1.00870573483461	0.28785
GPRK6	P43250	AGC/GRK	0.997512850127314	0.90085	1.04469068238853	0.029138	1.00170248191761	0.93695
GPRK7	Q8WTQ7	AGC/GRK	0.995144180649744	0.77039	1.04256125964951	0.011739	1.00081947627227	0.96311
GSK3A	P49840	CMGC/GSK	0.992153301103648	0.010375	1.00318132970996	0.28987	0.995314596762512	0.13659
GSK3B	P49841	CMGC/GSK	0.953160730172929	1.2523e-006	0.960043729263145	2.4183e-005	0.955416591343005	8.4705e-006
HCK	A8K4G3	TK/Src	1.08318039138331	0.0020588	0.996849443435285	0.90062	1.01095960223276	0.68301
HGK	Q53TX8	STE/STE20	1.01106052847529	0.017171	1.00360439307309	0.42642	1.00699529162931	0.14367
HH498	Q59H18	TKL/MLK	1.00193549493779	0.74683	1.00039169913939	0.94683	1.00244028896195	0.69399
HIPK1	Q86Z02	CMGC/DYRK	1.00177901344145	0.69746	1.00441146823145	0.32439	1.00317087247018	0.50372
HIPK2	Q9H2X6	CMGC/DYRK	1.00170320115053	0.71258	1.00441574007506	0.32904	1.00280395724579	0.55843
HIPK3	Q9H422	CMGC/DYRK	0.993248332692693	0.068342	0.998616808781632	0.703	0.999544060145701	0.90557
HIPK4	Q8NE63	CMGC/DYRK	1.00170890275669	0.70858	1.00435079405861	0.33065	1.00302070193499	0.52373
HPK1	Q92918	STE/STE20	1.01066959666996	0.009558	1.00471573278045	0.24113	1.0081422531155	0.054712
HRI	Q9BQI3	Other/PEK	0.977848944037903	0.13565	0.992371612768391	0.59739	0.98393365432488	0.29247
HUNK	P57058	CAMK/CAMKL	1.01227791546533	0.73306	0.994800059906189	0.88206	0.9710762729607	0.4298
ICK	Q9UPZ9	CMGC	0.967444131988003	1.0085e-026	0.969493139057086	4.2856e-025	0.979007628759357	2.3274e-011
IGF1R	P08069	TK/InsR	1.02733232499636	0.12797	1.00543959624168	0.75001	0.983186398491331	0.35451
IKKa	O15111	Other/IKK	1.01115966120786	0.01356	1.00845280233838	0.054218	0.998629591906979	0.76669
IKKb	O14920	Other/IKK	1.00971839311714	0.073159	1.00346690522925	0.50937	1.00030171249177	0.95656
IKKe	Q14164	Other/IKK	1.01236694087629	0.016502	1.00879774724029	0.079032	1.00310346013147	0.55628
ILK	Q13418	TKL/MLK	1.002085155899	0.73187	1.00089355673146	0.88092	1.00242755606422	0.69974
INSR	P06213	TK/InsR	1.02656249641432	0.10222	1.00125675863809	0.93519	0.987060847260665	0.43264
IRAK1	P51617	TKL/IRAK	0.98857107324647	0.19956	0.982711934381909	0.047274	0.990533011429957	0.30484
IRAK2	O43187	TKL/IRAK	1.0055843528708	0.4994	0.999959760381775	0.99603	1.00703526463438	0.41123
IRAK3	Q9Y616	TKL/IRAK	0.969760541519842	0.26945	0.978673925078692	0.42721	0.983679445543175	0.56628
IRAK4	Q9NWZ3	TKL/IRAK	1.00327408163041	0.81193	0.999985586331099	0.99915	1.02003422861457	0.16028
IRR	P14616	TK/InsR	1.02803339329398	0.11409	1.00424364620988	0.80135	0.983153432840836	0.34777
ITK	Q08881	TK/Tec	1.06648950163615	0.00023338	1.00078898816575	0.96316	1.01937752934931	0.28901
JAK1	P23458	TK/JakA	1.02052150708861	0.30586	1.00571272692492	0.76986	1.00391065836924	0.85091
JAK2	O60674	TK/JakA	1.03811855841435	0.028757	1.01666897057435	0.32359	1.01261942441429	0.48247
JAK3	P52333	TK/JakA	1.00797074061158	0.83599	1.01885387866046	0.61288	0.976756401496009	0.55969
JNK1	D3DX92	CMGC/MAPK	0.97393306827711	1.3264e-027	0.981601284235369	4.8808e-015	0.984343418841072	2.7556e-010
JNK2	P45984	CMGC/MAPK	0.974798704425724	7.7418e-027	0.98181739166409	3.0476e-015	0.985268228918929	1.4186e-009
JNK3	A8MTD8	CMGC/MAPK	0.97393306827711	1.3264e-027	0.981601284235369	4.8808e-015	0.984343418841072	2.7556e-010
KDR	P35968	TK/VEGFR	1.04490527586833	0.021996	0.99336080588266	0.72179	0.997039502543379	0.88087
KHS1	Q9Y4K4	STE/STE20	1.01344660340192	0.011075	1.00484293266239	0.34814	1.01345854704649	0.01384
KHS2	Q8IVH8	STE/STE20	1.01030667497634	0.0066677	1.00351563311515	0.34347	1.00498318637604	0.20247
KIT	P10721	TK/PDGFR	1.04633031727147	0.018475	0.996959046461331	0.87001	1.0049976532243	0.80173
KSR1	Q8IVT5	TKL/RAF	1.01462380530012	0.0028634	1.01129843401807	0.018569	1.00780400516747	0.12169
KSR2	Q6VAB6	TKL/RAF	1.01476432818293	0.0020736	1.01073965297153	0.021928	1.00778819732888	0.11382
LATS1	O95835	AGC	1.00474874209285	0.36912	1.00366651521979	0.47988	1.00076606271129	0.88901
LATS2	Q9NRM7	AGC	1.0032154742917	0.6266	0.999302883995825	0.91408	1.00183816723419	0.78862
LCK	P06239	TK/Src	1.05068274304687	0.00087059	0.981029643243085	0.18469	1.01458298167439	0.33911
LKB1	Q15831	CAMK/CAMKL/LKB	1.02619380793787	0.0042335	1.02269270584345	0.010968	1.02686144427831	0.0043866
LOK	O94804	STE/STE20	1.01023481351844	0.0078549	1.00314145213252	0.40333	1.0050785193907	0.19984
LTK	P29376	TK/Alk	1.04435005956841	0.0061463	1.00767277714946	0.62487	1.03507256067254	0.037903
LYN	P07948	TK/Src	1.04228685301578	8.735e-006	0.995306633934632	0.60349	1.01463019359613	0.12967
LZK	O43283	TKL/MLK	1.00039095790154	0.96048	1.00098108092225	0.89842	1.01212545052137	0.13889
MAK	P20794	CMGC	0.974507918076556	7.8601e-012	0.973650318249028	2.8311e-013	0.981876969136114	2.384e-006
MAP2K1	Q02750	STE/STE7	1.00267796854562	0.61431	1.00343277702165	0.51136	1.00215349245715	0.69461
MAP2K2	P36507	STE/STE7	1.00381277081014	0.46401	1.00204579788099	0.68921	1.00301354924689	0.57461
MAP2K3	P46734	STE/STE7	0.987106606513079	0.0072891	0.985997014027865	0.0029734	0.991610181326771	0.091119
MAP2K4	P45985	STE/STE7	0.998140397007634	0.77503	1.00282488981195	0.65955	1.00236231358705	0.72597
MAP2K5	Q13163	STE/STE7	0.987106606513079	0.0072891	0.985997014027865	0.0029734	0.991610181326771	0.091119
MAP2K6	P52564	STE/STE7	0.996332741810934	0.69347	0.999620477611801	0.96715	1.00087380736841	0.92775
MAP2K7	O14733	STE/STE7	1.00274906066802	0.60414	1.00353989699612	0.49734	1.00250712892124	0.6469
MAP3K1	Q13233	STE/STE11	0.986080343992629	0.020977	0.987232795233795	0.030307	0.991848285571009	0.19108
MAP3K2	Q9Y2U5	STE/STE11	0.989219558144958	0.029796	0.994275091160144	0.23864	0.995298590658178	0.36016
MAP3K3	Q99759	STE/STE11	0.994038738116752	0.18386	0.995655686881804	0.32229	0.997658868518623	0.61392
MAP3K4	B9EG75	STE/STE11	0.992581596012756	0.087186	0.994667033980624	0.20925	0.995492325756875	0.31518
MAP3K5	Q99683	STE/STE11	0.987993691750408	0.017813	0.994665822090433	0.28247	0.994149011890333	0.26407
MAP3K6	O95382	STE/STE11	0.987993691750408	0.017813	0.994665822090433	0.28247	0.994149011890333	0.26407
MAP3K7	Q6ZN16	STE/STE11	0.986080343992629	0.020977	0.987232795233795	0.030307	0.991848285571009	0.19108
MAP3K8	Q56UN5	STE/STE11	0.989219558144958	0.029796	0.994275091160144	0.23864	0.995298590658178	0.36016
MAPKAPK2	P49137	CAMK/MAPKAPK	1.00951219644999	0.19983	1.01335559780501	0.066562	1.00640488655046	0.40347
MAPKAPK3	Q16644	CAMK/MAPKAPK	1.01138877294975	0.11279	1.012735239021	0.070213	1.00808127208944	0.2756
MAPKAPK5	Q8IW41	CAMK/MAPKAPK	1.01150973966431	0.10395	1.01279999494392	0.064869	1.00833449620052	0.25389
MARK1	Q9P0L2	CAMK/CAMKL	1.00112165113789	0.90169	0.998096520704017	0.83087	0.996302235435236	0.69484
MARK2	Q7KZI7	CAMK/CAMKL	1.0051859154249	0.20638	1.0040254436052	0.31558	1.00293240721534	0.48804
MARK3	P27448	CAMK/CAMKL	1.01417129971998	0.0031164	1.01201830502678	0.010263	1.00816815548728	0.097104
MARK4	Q96L34	CAMK/CAMKL	1.015048173164	0.004777	1.01178932166182	0.023389	1.00775039599263	0.15689
MAST1	Q9Y2H9	AGC	1.00919862332832	0.28406	1.00244783110386	0.77013	1.00744572277103	0.4019
MAST2	Q6P0Q8	AGC	1.00434296006631	0.5037	0.999678725711189	0.95962	1.00003164092135	0.99625
MAST3	O60307	AGC	1.00919862332832	0.28406	1.00244783110386	0.77013	1.00744572277103	0.4019
MASTL	Q96GX5	AGC	1.01182455993952	0.15515	1.00605533393093	0.4555	1.00895014780327	0.29808
MELK	Q53GX0	CAMK/CAMKL	1.01439392426937	0.015992	1.0161691078671	0.0055222	1.00546213748447	0.37331
MER	Q12866	TK/Axl	0.92970910066173	0.11029	0.940831963861992	0.16369	0.932596472395967	0.13621
MET	P08581	TK/Met	1.10048349524039	3.2429e-010	1.04888812078918	0.0012362	1.0415604677822	0.0092737
MINK	Q8N4C8	STE/STE20	1.01169444020243	0.0069108	1.00424036010354	0.3156	1.00818749124806	0.065765
MISR2	Q16671	TKL/STKR	0.98272073283181	0.0011806	0.989285330632203	0.039635	0.990147060045781	0.075371
MLK1	P80192	TKL/MLK	1.00250559587756	0.67482	1.00040324286546	0.94505	1.00263549124456	0.66962
MLK2	Q02779	TKL/MLK	1.00041946536302	0.95782	1.00031917463306	0.96705	1.01161747721764	0.1583
MLK3	B2RDI6	TKL/MLK	1.00251062382041	0.75519	0.999495212403664	0.9486	1.01305464284479	0.11853
MLK4	Q5TCX8	TKL/MLK	1.00736576259543	0.52151	0.997671244871137	0.83345	1.01558923628738	0.18688
MNK1	B5BUJ6	CAMK/MAPKAPK	1.00482566647758	0.43377	1.00859083356459	0.15545	1.00587213826638	0.35728
MNK2	A4CYL7	CAMK/MAPKAPK	1.00482566647758	0.43377	1.00859083356459	0.15545	1.00587213826638	0.35728
MOK	Q9UQ07	CMGC	0.987087060082216	0.17728	0.982648482337849	0.062168	0.99147429052501	0.38422
MRCKa	Q5VT25	AGC/DMPK	0.98828615111548	0.099477	0.995105484051927	0.48576	0.994615177613943	0.46794
MRCKb	Q9Y5S2	AGC/DMPK	0.990832173669946	0.1707	0.993251448140878	0.30458	0.992290634718008	0.26695
MSK1	O75582	AGC/RSK	1.01373716199477	0.0043428	1.00112488137451	0.81037	1.00662672870098	0.18125
